simplified,pinyin,trad
你,nǐ,你
好,hǎo,好
不,bù,不
多,duō,多
大,dà,大
中,zhōng,中
外,wài,外
国,guó,國
什么,shén me,什麼
右,yòu,右
左,zuǒ,左
马,mǎ,馬
路,lù,路
生,shēng,生
日,rì,日
明,míng,明
天,tiān,天
地,dì,地
火,huǒ,火
车,chē,車
岁,suì,歲
人,rén,人
老,lǎo,老
来,lái,來
回,huí,回
这个,zhè ge,這個
那个,nà ge,那個
可以,kě yǐ,可以
出,chū,出
单,dān,單
两,liǎng,兩
点,diǎn,點
菜,cài,菜
走,zǒu,走
上,shàng,上
年,nián,年
安,ān,安
零,líng,零
一,yī,一
二,èr,二
三,sān,三
四,sì,四
五,wǔ,五
六,liù,六
七,qī,七
八,bā,八
九,jiǔ,九
十,shí,十
一百,yī bǎi,一百
一千,yī qiān,一千
谢谢,xiè xie,謝謝
好的,hǎo de,好的
请,qǐng,請
去,qù,去
看,kàn,看
听,tīng,聽
说,shuō,說
做,zuò,做
想,xiǎng,想
多少,duō shao,多少
哪里,nǎ lǐ,哪裡
这里,zhè lǐ,這裡
那里,nà lǐ,那裡
谁,shéi,誰
朋友,péng you,朋友
家,jiā,家
太,tài,太
北,běi,北
南,nán,南
东,dōng,東
西,xī,西
头,tóu,頭
脚,jiǎo,腳
手,shǒu,手
小心,xiǎo xīn,小心
入口,rù kǒu,入口
出口,chū kǒu,出口
小,xiǎo,小
山,shān,山
河,hé,河
湖,hú,湖
海,hǎi,海
下个,xià ge,下個
上个,shàng ge,上個
一张,yī zhāng,一張
我要,wǒ yào,我要
木,mù,木
