han,pinyin
你好吗,nǐ hǎo ma
很好,hěn hǎo
还好,hái hǎo
不太好,bù tài hǎo
早上好,zǎo shàng hǎo
晚上好,wǎn shàng hǎo
晚安,wǎn ān
你叫什么名字,nǐ jiào shén me míng zì
您贵姓,nín guì xìng
你来自哪里,nǐ lái zì nǎ lǐ
很高兴认识你,hěn gāo xìng rèn shí nǐ
非常感谢,fēi cháng gǎn xiè
不用谢,bù yòng xiè
不客气,bù kè qì
不好意思,bù hǎo yì sī
对不起,duì bù qǐ
请问,qǐng wèn
麻烦,mǎ fán
没问题,méi wèn tí
听得懂,tīng de dǒng
会说中文,huì shuō zhōng wén
什么意思,shén me yì si
不知道,bù zhī dào
怎么走,zěn me zǒu
在哪里,zài nǎ lǐ
在那里,zài nà lǐ
在这儿,zài zhè ér
直走,zhí zǒu
右转,yòu zhuǎn
左转,zuǒ zhuǎn
过马路,guò mǎ lù
我要去,wǒ yào qù
一张到北京的票,yī zhāng dào běi jīng de piào
单程,dān chéng 
机场,jī chǎng
火车站,huǒ chē zhàn
地铁站,dì tiě zhàn
公交车站,gōng jiāo chē zhàn
出租车,chū zū chē
几位,jǐ wèi
两位,liǎng wèi
我想看一下菜单,wǒ xiǎng kàn yī xià cài dān
点菜,diǎn cài
我要,wǒ yào
买单,mǎi dān
服务员,fú wù yuán
太贵了,tài guì le
便宜,pián yi
刷卡吗,shuā kǎ ma
迷路,mí lù
钱包丢了,qián bāo diū le
医院,yī yuàn
生病,shēng bìng
受伤,shòu shāng
这里疼,zhè lǐ téng
恭喜,gōng xǐ
快乐,kuài lè
干杯,gān bēi
新年,xīn nián
恭喜发财,gōng xǐ fā cái
祝你好运,zhù nǐ hǎo yùn
再见,zài jiàn
下次见,xià cì jiàn
一路平安,yī lù píng ān
