simplified,pinyin,trad
你好吗,nǐ hǎo ma,你好嗎
很好,hěn hǎo,很好
还好,hái hǎo,還好
不太好,bù tài hǎo,不太好
早上好,zǎo shàng hǎo,早上好
晚上好,wǎn shàng hǎo,晚上好
晚安,wǎn ān,晚安
很高兴,hěn gāo xìng,很高興
认识,rèn shi,認識
不用谢,bù yòng xiè,不用謝
不客气,bù kè qi,不客氣
不好意思,bù hǎo yì si,不好意思
对不起,duì bù qǐ,對不起
麻烦,mǎ fan,麻煩
没问题,méi wèn tí,沒問題
听得懂,tīng de dǒng,聽得懂
什么意思,shén me yì si,什麼意思
不知道,bù zhī dào,不知道
我要去,wǒ yào qù,我要去
票,piào,票
到北京,dào běi jīng,到北京
单程,dān chéng,單程
机场,jī chǎng,機場
火车站,huǒ chē zhàn,火車站
地铁站,dì tiě zhàn,地鐵站
太贵了,tài guì le,太貴了
便宜,pián yi,便宜
迷路,mí lù,迷路
医院,yī yuàn,醫院
生病,shēng bìng,生病
受伤,shòu shāng,受傷
快乐,kuài lè,快樂
干杯,gān bēi,乾杯
新年,xīn nián,新年
祝你好运,zhù nǐ hǎo yùn,祝你好運
再见,zài jiàn,再見
下次见,xià cì jiàn,下次見
一路平安,yī lù píng ān,一路平安
今天,jīn tiān,今天
昨天,zuó tiān,昨天
东西,dōng xi,東西
吃饭,chī fàn,吃飯
喝水,hē shuǐ,喝水
喜欢,xǐ huan,喜歡
为什么,wèi shén me,為什麼
没关系,méi guān xi,沒關係
老师,lǎo shī,老師
真的,zhēn de,真的
晴天,qíng tiān,晴天
下雨,xià yǔ,下雨
潮湿,cháo shī,潮濕
闷热,mēn rè,悶熱
手臂,shǒu bì,手臂
腿,tuǐ,腿
月亮,yuè liang,月亮
太阳,tài yang,太陽
星星,xīng xing,星星
排队,pái duì,排隊
危险,wēi xiǎn,危險
春天,chūn tiān,春天
夏天,xià tiān,夏天
秋天,qiū tiān,秋天
冬天,dōng tiān,冬天
