simplified,pinyin,trad
浓缩咖啡,nóng suō kā fēi,濃縮咖啡
美式咖啡,měi shì kā fēi,美式咖啡
卡布奇诺,kǎ bù qí nuò,卡布奇諾
拿铁,ná tiě,拿鐵
普洱茶,pǔ ěr chá,普洱茶
肥牛,féi niú,肥牛
鸳鸯锅,yuān yāng guō,鴛鴦鍋
糯米鸡,nuò mǐ jī,糯米雞
叉烧包,chā shāo bāo,叉燒包
柠檬茶,níng méng chá,檸檬茶
西多士,xī duō shì,西多士
薯片,shǔ piàn,薯片
杏仁,xìng rén,杏仁
核桃,hé tao,核桃
餐蛋面,cān dàn miàn,餐蛋麵
丝袜奶茶,sī wà nǎi chá,絲襪奶茶
冰室,bīng shì,冰室
荔枝,lì zhī,荔枝
龙眼,lóng yǎn,龍眼
火龙果,huǒ lóng guǒ,火龍果
榴莲,liú lián,榴蓮
菠萝蜜,bō luó mì,菠蘿蜜
芒果,máng guǒ,芒果
辣子鸡,là zǐ jī,辣子雞
肠粉,cháng fěn,腸粉
凤爪,fèng zhuǎo,鳳爪
蛋挞,dàn tà,蛋撻
虾饺,xiā jiǎo,蝦餃
柚子,yòu zi,柚子
桃子,táo zi,桃子
草莓,cǎo méi,草莓
薯条,shǔ tiáo,薯條
葡萄,pú tao,葡萄
芝麻酱,zhī ma jiàng,芝麻醬
火锅,huǒ guō,火鍋
啤酒,pí jiǔ,啤酒
乌龙茶,wū lóng chá,烏龍茶
蘑菇,mó gu,蘑菇
