simplified,pinyin,trad
米饭,mǐ fàn,米飯
面条,miàn tiáo,麵條
面包,miàn bāo,麵包
鸡蛋,jī dàn,雞蛋
牛肉,niú ròu,牛肉
猪肉,zhū ròu,豬肉
鸡肉,jī ròu,雞肉
鱼,yú,魚
蔬菜,shū cài,蔬菜
水果,shuǐ guǒ,水果
苹果,píng guǒ,蘋果
香蕉,xiāng jiāo,香蕉
西瓜,xī guā,西瓜
咖啡,kā fēi,咖啡
茶,chá,茶
水,shuǐ,水
牛奶,niú nǎi,牛奶
果汁,guǒ zhī,果汁
米,mǐ,米
饭,fàn,飯
肉,ròu,肉
蛋,dàn,蛋
奶,nǎi,奶
渴,kě,渴
饿,è,餓
好吃,hǎo chī,好吃
好喝,hǎo hē,好喝
菜单,cài dān,菜單
买单,mǎi dān,買單
冰,bīng,冰
绿茶,lǜ chá,綠茶
红茶,hóng chá,紅茶
白茶,bái chá,白茶
羊肉,yáng ròu,羊肉
虾,xiā,蝦
豆腐,dòu fu,豆腐
土豆,tǔ dòu,土豆
白菜,bái cài,白菜
生菜,shēng cài,生菜
玉米,yù mǐ,玉米
辣,là,辣
麻辣,má là,麻辣
点心,diǎn xin,點心
烧卖,shāo mài,燒賣
小笼包,xiǎo lóng bāo,小籠包
排骨,pái gǔ,排骨
春卷,chūn juǎn,春卷
饮茶,yǐn chá,飲茶
餐厅,cān tīng,餐廳
奶茶,nǎi chá,奶茶
菠萝包,bō luó bāo,菠蘿包
干炒牛河,gān chǎo niú hé,乾炒牛河
炸鸡,zhá jī,炸雞
饼干,bǐng gān,餅乾
