simplified,pinyin,trad
你叫什么名字,nǐ jiào shén me míng zì,你叫什麼名字
您贵姓,nín guì xìng,您貴姓
你来自哪里,nǐ lái zì nǎ lǐ,你來自哪裡
非常感谢,fēi cháng gǎn xiè,非常感謝
请问,qǐng wèn,請問
会说中文,huì shuō zhōng wén,會說中文
怎么走,zěn me zǒu,怎麼走
在哪里,zài nǎ lǐ,在哪裡
在那里,zài nà lǐ,在那裡
在这儿,zài zhè ér,在這兒
直走,zhí zǒu,直走
右转,yòu zhuǎn,右轉
左转,zuǒ zhuǎn,左轉
过马路,guò mǎ lù,過馬路
我想看一下菜单,wǒ xiǎng kàn yī xià cài dān,我想看一下菜單
公交车站,gōng jiāo chē zhàn,公交車站
出租车,chū zū chē,出租車
几位,jǐ wèi,幾位
两位,liǎng wèi,兩位
点菜,diǎn cài,點菜
买单,mǎi dān,買單
服务员,fú wù yuán,服務員
刷卡吗,shuā kǎ ma,刷卡嗎
钱包丢了,qián bāo diū le,錢包丟了
恭喜,gōng xǐ,恭喜
欢迎,huān yíng,歡迎
这里疼,zhè lǐ téng,這裡疼
