han,pinyin
你好,nǐ hǎo
你好吗,nǐ hǎo ma
很好,hěn hǎo
还好,hái hǎo
不太好,bù tài hǎo
早上好,zǎo shàng hǎo
晚上好,wǎn shàng hǎo
晚安,wǎn ān
你叫什么名字,nǐ jiào shén me míng zì
您贵姓,nín guì xìng
你多大,nǐ duō dà
我三十岁,wǒ sān shí suì
你来自哪里,nǐ lái zì nǎ lǐ
中国,zhōng guó
外国人,wài guó rén
老外,lǎo wài
很高兴认识你,hěn gāo xìng rèn shí nǐ
非常感谢,fēi cháng gǎn xiè
不用谢,bù yòng xiè
不客气,bù kè qì
不好意思,bù hǎo yì sī
对不起,duì bù qǐ
请问,qǐng wèn
麻烦,mǎ fán
没问题,méi wèn tí
听得懂,tīng de dǒng
会说中文,huì shuō zhōng wén
什么意思,shén me yì si
不知道,bù zhī dào
怎么走,zěn me zǒu
在哪里,zài nǎ lǐ
在那里,zài nà lǐ
在这儿,zài zhè ér
直走,zhí zǒu
右转,yòu zhuǎn
左转,zuǒ zhuǎn
过马路,guò mǎ lù
我要去,wǒ yào qù
一张到北京的票,yī zhāng dào běi jīng de piào
来回,lái huí
单程,dān chéng 
机场,jī chǎng
火车站,huǒ chē zhàn
地铁站,dì tiě zhàn
公交车站,gōng jiāo chē zhàn
出租车,chū zū chē 
几位,jǐ wèi
两位,liǎng wèi
我想看一下菜单,wǒ xiǎng kàn yī xià cài dān
点菜,diǎn cài
我要,wǒ yào
买单,mǎi dān
服务员,fú wù yuán
这个,zhè ge
那个,nà ge
太贵了,tài guì le
便宜,pián yi
一点,yì diǎn
可以,kě yǐ
刷卡吗,shuā kǎ ma
