han,pinyin
好马不吃回头草,hǎo mǎ bù chī huí tóu cǎo
小菜一碟,xiǎo cài yì dié
太阳从西边出来,tài yang cóng xī bian chū lai
说曹操曹操到,shuō cáo cāo cáo cāo dào
乌鸦嘴,wū yā zuǐ
二百五,èr bǎi wǔ
吃一堑长一智,chī yí qiàn zhǎng yí zhì
睁着眼睛说瞎话,zhēng zhe yǎn jing shuō xiā huà
近朱者赤近墨者黑,jìn zhū zhě chì jìn mò zhě hēi
物以稀为贵,wù yǐ xī wéi guì
王婆卖瓜自卖自夸,wáng pó mài guā zì mài zì kuā
站着说话不腰疼,zhàn zhe shuō huà bù yāo téng
天下没有不散的筵席,tiān xià méi yǒu bú sàn de yán xí
天上掉馅饼,tiān shàng diào xiàn bǐng
己所不欲勿施于人,jǐ suǒ bú yù wù shī yú rén
睁眼瞎,zhēng yǎn xiā
跳进黄河洗不清,tiào jìn huáng hé xǐ bù qīng
拍马屁,pāi mǎ pì
情人眼里出西施,qíng rén yǎn lǐ chū xī shī
打酱油,dǎ jiàng yóu
不怕一万就怕万一,bú pà yí wàn jiù pà wàn yī
走着瞧,zǒu zhe qiáo
不管三七二十一,bù guǎn sān qī èr shí yī
吃着碗里的看着锅里的,chī zhe wǎn lǐ de kàn zhe guō lǐ de
钻牛角尖,zuān niú jiǎo jiān
人不可貌相海水不可斗量,rén bù kě mào xiàng hǎi shuǐ bù kě dǒu liáng
林子大了什么鸟都有,lín zi dà le shén me niǎo dōu yǒu
鸡毛蒜皮,jī máo suàn pí
鲜花插在牛粪上,xiān huā chā zài niú fèn shàng
醉翁之意不在酒,zuì wēng zhī yì bú zài jiǔ
猴年马月,hóu nián mǎ yuè
眼不见为净,yǎn bú jiàn wéi jìng
姜是老的辣,jiāng shì lǎo de là
留得青山在不怕没柴烧,liú dé qīng shān zài bú pà méi chái shāo
拿得起放得下,ná de qǐ fàng de xià
以其人之道还治其人之身,yǐ qí rén zhī dào huán zhì qí rén zhī shēn
走桃花运,zǒu táo huā yùn
成事不足败事有余,chéng shì bù zú bài shì yǒu yú
皇上不急太监急,huáng shàng bù jí tài jiàn jí
三个臭皮匠顶个诸葛亮,sān gè chòu pí jiàng dǐng gè zhū gě liàng
脚踩两只船,jiǎo cǎi liǎng zhī chuán
此地无银三百两,cǐ dì wú yín sān bǎi liǎng
吃不到葡萄就说葡萄酸,chī bú dào pú tao jiù shuō pú tao suān
心急吃不了热豆腐,xīn jí chī bù liǎo rè dòu fu
家常便饭,jiā cháng biàn fàn
癞蛤蟆想吃天鹅肉,lài há ma xiǎng chī tiān é ròu
天无绝人之路,tiān wú jué rén zhī lù
走后门,zǒu hòu mén
瞎猫碰上死耗子,xiā māo pèng shàng sǐ hào zi
好汉不吃眼前亏,hǎo hàn bù chī yǎn qián kuī
解铃还须系铃人,jiě líng hái xū xì líng rén
肥水不流外人田,féi shuǐ bù liú wài rén tián
心有余而力不足,xīn yǒu yú ér lì bù zú
不分青红皂白,bù fēn qīng hóng zào bái
睁一只眼闭一只眼,zhēng yì zhī yǎn bì yì zhī yǎn
破罐子破摔,pò guàn zi pò shuāi
种瓜得瓜种豆得豆,zhòng guā dé guā zhòng dòu dé dòu
萝卜白菜各有所爱,luó bo bái cài gè yǒu suǒ ài
狗嘴里吐不出象牙,gǒu zuǐ lǐ tǔ bù chū xiàng yá
三天打鱼两天晒网,sān tiān dǎ yú liǎng tiān shài wǎng
一朝被蛇咬十年怕井绳,yì zhāo bèi shé yǎo shí nián pà jǐng shéng
英雄难过美人关,yīng xióng nán guò měi rén guān
刀子嘴豆腐心,dāo zi zuǐ dòu fu xīn
一失足成千古恨,yì shī zú chéng qiān guǔ hèn
哪壶不开提哪壶,nǎ hú bù kāi tí nǎ hú
炒鱿鱼,chǎo yóu yú
人往高处走水往低处流,rén wǎng gāo chù zǒu shuǐ wǎng dī chù liú
说得比唱得好听,shuō de bǐ chàng de hǎo tīng
强扭的瓜不甜,qiáng niǔ de guā bù tián
老掉牙,lǎo diào yá
